Chroma Features Analysis
=======================

Time-based chroma intensities:
T	C	C#	D	D#	E	F	F#	G	G#	A	A#	B
0.00	1.000	0.992	0.428	0.502	0.321	0.443	0.632	0.425	0.791	0.365	0.318	0.876	C
0.01	1.000	0.986	0.430	0.502	0.326	0.445	0.639	0.411	0.784	0.357	0.316	0.912	C
0.02	1.000	0.983	0.433	0.503	0.332	0.448	0.647	0.397	0.778	0.351	0.313	0.948	C
0.03	1.000	0.981	0.437	0.505	0.337	0.450	0.656	0.384	0.774	0.344	0.312	0.986	C
0.04	0.977	0.959	0.433	0.496	0.336	0.443	0.651	0.364	0.752	0.330	0.305	1.000	B
0.05	0.941	0.926	0.422	0.482	0.329	0.430	0.638	0.340	0.721	0.313	0.295	1.000	B
0.06	0.907	0.895	0.413	0.468	0.324	0.418	0.627	0.320	0.693	0.296	0.288	1.000	B
0.07	0.874	0.868	0.405	0.456	0.318	0.407	0.617	0.304	0.667	0.280	0.283	1.000	B
0.09	0.843	0.843	0.398	0.446	0.313	0.396	0.608	0.291	0.643	0.266	0.281	1.000	B
0.10	0.813	0.820	0.392	0.436	0.309	0.386	0.600	0.281	0.620	0.252	0.281	1.000	B
1.00	0.525	0.253	0.436	0.426	0.348	0.097	0.152	0.288	0.280	0.734	1.000	0.492	A#
1.01	0.635	0.320	0.501	0.527	0.440	0.120	0.233	0.385	0.366	0.942	1.000	0.782	A#
1.02	0.654	0.395	0.490	0.575	0.502	0.177	0.245	0.475	0.404	1.000	0.972	0.990	A
1.03	0.376	0.440	0.405	0.384	0.462	0.129	0.306	0.357	0.380	0.572	1.000	0.533	A#
1.05	0.446	0.428	0.353	0.431	0.425	0.176	0.241	0.351	0.400	0.493	1.000	0.802	A#
1.06	0.435	0.515	0.389	0.490	0.479	0.223	0.282	0.334	0.480	0.293	1.000	0.819	A#
1.07	0.453	0.477	0.380	0.521	0.412	0.317	0.396	0.462	0.663	0.561	1.000	0.706	A#
1.08	0.214	0.544	0.357	0.450	0.425	0.228	0.147	0.275	0.474	0.482	1.000	0.522	A#
1.09	0.254	0.714	0.405	0.627	0.467	0.327	0.300	0.402	0.724	0.595	1.000	0.611	A#
1.10	0.334	0.671	0.416	0.518	0.494	0.172	0.260	0.511	0.657	1.000	0.507	0.795	A
2.01	0.777	0.359	0.242	0.196	0.295	0.198	0.288	0.401	0.361	1.000	0.947	0.982	A
2.02	0.743	0.316	0.212	0.173	0.272	0.077	0.279	0.428	0.365	0.983	0.914	1.000	B
2.03	0.712	0.232	0.187	0.167	0.218	0.177	0.275	0.313	0.220	0.802	0.907	1.000	B
2.04	0.621	0.138	0.160	0.131	0.143	0.172	0.137	0.301	0.234	0.741	0.892	1.000	B
2.05	0.660	0.336	0.226	0.250	0.322	0.119	0.317	0.405	0.428	1.000	0.888	0.943	A
2.06	0.684	0.272	0.231	0.138	0.237	0.210	0.287	0.411	0.352	1.000	0.962	0.879	A
