RMS Energy Analysis Results
==========================

Number of frames: 22344
Total duration: 238.33 seconds
Maximum RMS energy: 0.3689
Minimum RMS energy: 0.0000
Average RMS energy: 0.1490

Frame-by-frame data:
Time (s)	RMS Energy
0.000	0.000000'      '	0
1.067	0.000000'      '	0
2.133	0.000000'      '	0
3.200	0.125515'      '	2
4.267	0.084237'      '	1
5.333	0.079875'      '	1
6.400	0.084206'      '	1
7.467	0.115772'      '	2
8.533	0.106828'      '	2
9.600	0.065851'      '	1
10.667	0.014226'      '	0
11.733	0.226529'      '	4
12.800	0.075405'      '	1
13.867	0.180083'      '	3
14.933	0.025180'      '	0
16.000	0.068972'      '	1
17.067	0.201080'      '	3
18.133	0.111469'      '	2
19.200	0.137238'      '	2
20.267	0.083397'      '	1
21.333	0.156841'      '	3
22.400	0.182813'      '	3
23.467	0.092390'      '	2
24.533	0.121394'      '	2
25.600	0.136549'      '	2
26.667	0.248151'      '	4
27.733	0.085420'      '	1
28.800	0.101099'      '	2
29.867	0.112088'      '	2
30.933	0.261290'      '	4
32.000	0.073137'      '	1
33.067	0.085666'      '	1
34.133	0.018131'      '	0
35.200	0.246899'      '	4
36.267	0.214121'      '	3
37.333	0.127683'      '	2
38.400	0.146183'      '	2
39.467	0.110692'      '	2
40.533	0.276506'      '	4
41.600	0.170498'      '	3
42.667	0.090758'      '	1
43.733	0.141450'      '	2
44.800	0.091712'      '	1
45.867	0.161731'      '	3
46.933	0.127400'      '	2
48.000	0.143542'      '	2
49.067	0.129997'      '	2
50.133	0.129438'      '	2
51.200	0.247974'      '	4
52.267	0.281135'      '	5
53.333	0.214625'      '	3
54.400	0.196418'      '	3
55.467	0.176539'      '	3
56.533	0.146367'      '	2
57.600	0.080807'      '	1
58.667	0.304374'      '	5
59.733	0.184291'      '	3
60.800	0.130189'      '	2
61.867	0.213069'      '	3
62.933	0.182413'      '	3
64.000	0.130320'      '	2
65.067	0.128244'      '	2
66.133	0.219029'      '	4
67.200	0.143710'      '	2
68.267	0.172220'      '	3
69.333	0.139666'      '	2
70.400	0.083925'      '	1
71.467	0.197232'      '	3
72.533	0.146431'      '	2
73.600	0.153378'      '	2
74.667	0.113343'      '	2
75.733	0.100688'      '	2
76.800	0.078346'      '	1
77.867	0.117142'      '	2
78.933	0.099392'      '	2
80.000	0.086954'      '	1
81.067	0.088566'      '	1
82.133	0.272782'      '	4
83.200	0.163218'      '	3
84.267	0.123154'      '	2
85.333	0.046374'      '	1
86.400	0.148336'      '	2
87.467	0.019413'      '	0
88.533	0.272752'      '	4
89.600	0.205205'      '	3
90.667	0.060381'      '	1
91.733	0.186472'      '	3
92.800	0.133553'      '	2
93.867	0.259403'      '	4
94.933	0.179766'      '	3
96.000	0.177530'      '	3
97.067	0.102035'      '	2
98.133	0.140317'      '	2
99.200	0.242177'      '	4
100.267	0.161641'      '	3
101.333	0.108220'      '	2
102.400	0.066442'      '	1
103.467	0.140118'      '	2
104.533	0.281636'      '	5
105.600	0.198479'      '	3
106.667	0.075479'      '	1
107.733	0.107189'      '	2
108.800	0.059341'      '	1
109.867	0.230212'      '	4
110.933	0.178441'      '	3
112.000	0.158307'      '	3
113.067	0.143202'      '	2
